lname                                              count
GOWER-REES                                         1
BLENKHORN                                          40
RUTKA                                              2
GILLANDERS                                         26
FREDERICKS SR.                                     1
SHORTLIFFE                                         5
HOLLOWS                                            1
LIMOTLIMOT                                         1
VRIJMOED                                           2
TUTUBE                                             1
NEDILENKA                                          1
VEGGA                                              1
ERRICO                                             1
WELTA                                              2
OJAUGER                                            1
ENCARNACION                                        4
SMUDA                                              1
KHORSHIDIAN                                        1
CHALIOUX                                           1
NONAN                                              1
DOMASHOVITZ                                        4
ROBICHAUD                                          3
SOBANSKI                                           1
NUDLER                                             2
HUSBY                                              1
BIRNIE-BROWN                                       2
COLEHOUSE                                          2
HLAVAY                                             1
ESOME                                              1
CHAFE/WARD                                         1
WILSDON                                            2
STEPKOWSKI                                         1
SMIDS                                              3
MENAPAL                                            1
NSIAH                                              1
SHIDIAC                                            1
PARREAULT                                          1
LEBOISSANT                                         1
SALTZBERG                                          1
KKAILTHERR                                         1
Pidutti                                            3
PUENTESPINA                                        1
Trommelen                                          1
ZURYLO                                             1
GURALNICK                                          2
MACKRISS                                           1
ZIEDAN                                             2
MICFLICKER                                         1
TRUPKE                                             1
BUGEJA                                             4
KLEEMAIER                                          2
PANTAZOPOULOS                                      3
GUINEY                                             21
LUMSDON                                            3
STIENWANDT                                         3
MONDONCA                                           1
PALSIS                                             2
ARAJS                                              1
KUNSTEL                                            1
SOLNIK                                             2
LAVRI                                              2
OMEDA                                              1
BUTINA                                             1
CAREAN                                             1
RADOSEVIC                                          1
VERIKER                                            1
GHAMARI                                            1
PIERRIPONT                                         1
HUMAR-BARRETT                                      1
OKFU                                               1
CZANK                                              5
WECKER                                             3
PAAVOLA                                            7
KUZILLA                                            1
ROLFSEN                                            5
GRASSER                                            1
Shafferd                                           1
QUENETT                                            1
LONG-SIKORA                                        1
SIMOUNE                                            2
SEVERLOH                                           3
PANKEWYCZ                                          1
BOJO                                               1
PEACH MULDER                                       1
UPSAHW                                             1
CHRISTRENSEN                                       1
COADY/IN MEMORY OF EDWARD COADY                    1
DZIADUCK                                           9
TARSEKIE                                           1
APAGAM                                             1
SIEBEN-CHUBACK                                     1
PILATUS                                            5
BURWOOD                                            4
MATLEY                                             1
MEERBURG                                           3
FORTEY                                             2
BUIKEMA                                            1
I GALLON DDS                                       1
VAN WERKOM                                         1
KOOTNY                                             1
DUKNIK                                             1
EWASIW                                             4
KARPOWICZ                                          4
IRIYE                                              1
BYLEVELD                                           1
DEPOW                                              12
DOKNJAS                                            1
PORTINGALE                                         2
VAARTSTRA                                          2
BAKUSKA                                            1
FAVONI                                             1
Amelio                                             1
VENNEL                                             1
FLORENDO                                           5
RUDLAND                                            2
PIERIO                                             1
NEAD                                               1
GARLIT                                             2
KRESHEWSKI                                         6
SIMEONIDIS                                         8
ZORETICH                                           1
JO MCINTOSH                                        1
GABBANA                                            1
STOCKL                                             1
WEICK                                              6
NEVITT                                             1
GALBIERZ                                           2
STANISKY                                           2
PISKO                                              9
PILAN                                              2
FERRAINA                                           1
FIMAGE                                             1
PANNEERSELVAM                                      1
FROCH                                              1
LINECKER                                           1
KOWALCZYCK                                         1
KNOBLE                                             1
SEGLIE                                             1
LONDON SHARPE                                      1
ILEDAN                                             1
MADL                                               1
HORYN                                              16
ALOI                                               2
BOJIC                                              1
GRAINGE                                            1
TELLERMAN                                          1
BLENKINSOP/HOLINATY                                1
OOSTEROM                                           8
MC CURRACH                                         2
GREMAUD                                            1
W. MINER                                           1
BIJMAN                                             3
H. MCLEOD                                          1
BERKHETAB                                          1
BRONSEMA                                           1
PATKAI                                             2
ZARICHNYY                                          1
PALICHLEB                                          1
BERDINSKI                                          1
SKOKO                                              2
MUTYA                                              2
DZENICK                                            3
SUTEU                                              1
HAMALIUK                                           3
HUYGHUE                                            2
MAHAMMADI                                          1
THIEMAN                                            3
DALLOUL                                            1
CERETTI                                            18
MACKICHAN                                          5
NIPPER                                             2
SETRAKOV                                           4
LUSS                                               2
EGBETHO                                            1
FILIPOVICH                                         1
OFUAFOR                                            1
IAICHKIN                                           1
WEIRR                                              1
GENYN                                              1
YURKIN                                             2
SCHAESER                                           1
GANNON-GAGNE                                       1
SIL                                                9
HOLLIS                                             58
RETZLAFF                                           10
STURROCK                                           12
PELLEBOER                                          1
EVELEY                                             4
ALBURY                                             7
ROSS- BEER                                         1
RADOICIC                                           1
UNGRIN                                             2
ASTELS                                             3
TCHILINGUIRIAN                                     1
NAHEPOWISK                                         1
EISING                                             2
MCKENDY                                            8
ROWED                                              2
MILMORE                                            2
LUCHA                                              2
MIGLIORE                                           1
DASHCHUK                                           2
SKODE                                              1
PILTINGSRUD                                        1
BELLMORE                                           8
WORTHY                                             6
KODAK                                              3
MOSSE                                              2
HENERSON                                           3
HOCHHAUSEN                                         6
MERTH                                              1
RISCHE                                             2
SPEIDEL-BLAHUT                                     1
NOVITSKI                                           2
GRUNDINSKI                                         1
BARBETTA                                           1
LEBLIC                                             2
SEN YI                                             1
MORA PE                                            1
KAOTALOK                                           1
TETEK                                              1
TARREL                                             1
TREADWELL                                          9
HORNIDGE                                           2
PENDLEBURY                                         10
HUESDON                                            1
EUSANIO                                            6
FOOKS                                              5
BHANDGU                                            1
BONNIS                                             2
FRANCIS (WESTGATE)                                 1
Balmas                                             1
GREDGE                                             1
GODAU                                              1
VOLEV                                              1
BANZIL                                             1
LUNNEY, MP                                         1
MEUSER HOLMES                                      1
SADLEY                                             1
WITMAN                                             1
IRJA                                               1
SCHOTTENBAUER                                      2
DENOON                                             9
DE BLASIO                                          1
DAZZAN                                             1
KOVACHIK                                           5
C/O DAVID BLACK                                    1
LOCKING                                            5
AIGKEN                                             1
HENDRIXSON                                         3
KOUTSANTONIS                                       3
DORMA                                              14
PECHTEL                                            1
STOLTE                                             11
D'ENTREMONT                                        216
CLEMENS                                            50
BJORGAARD                                          3
DBSON                                              1
SHIVES                                             2
AICO                                               1
COMACK                                             3
KARKOSH                                            2
BOTERBERG                                          1
NADORYK                                            1
IVANISEVIC                                         1
R SNIDER                                           1
MOSI                                               3
VANDETTE                                           2
DHARSI                                             1
SPINOLA                                            1
FIOLLEAU                                           5
FRIESWICK                                          1
GARVEY                                             74
TRAPTOW                                            3
CHATEAUNEUF                                        6
GADWA                                              3
MONNETTE                                           1
BAKELAAR                                           4
SOUSA-POZA                                         1
GEHL                                               23
MARNELL                                            9
HERSTINGER                                         1
LAVERRIERE                                         1
VANDERWIEL                                         1
IWANIKA                                            1
SHOLAN                                             1
RUDEAU                                             1
Arbter                                             1
HADDAN                                             1
FITZPATRICK                                        1
LANDSEY                                            1
BESKOROWAYNY                                       1
ESKA                                               1
ZATWANKY                                           1
SOLOTKI                                            1
