lname                                              count
WARRILLOW                                          1
ASSHETON                                           1
LATTAR                                             1
PIGUET                                             1
HUZIL                                              4
CANDAELE                                           3
BELLON                                             3
DARAS                                              1
DUMECHELLE                                         1
HJALTADOTTIR                                       1
NORENBERG                                          5
MIRMOGHISI                                         1
SAUNDRS                                            1
HANDLE                                             2
GOLSHENAS                                          2
PROLE                                              9
POPOWICH                                           139
PALING                                             10
F. MACPHEE                                         1
HORNQUIST                                          4
MC CREDY                                           1
CASTANGER                                          1
MACHUSHYK                                          1
CZIRAKI                                            1
SWANTZEN                                           1
SWEEP AGT                                          1
BOONGALING                                         1
KATHINAK                                           1
ELEFANTE                                           1
MALBASA                                            4
NEGAHS                                             1
BUDNYK                                             1
STAYROOK                                           1
ALHADRAWI                                          1
OSEEMOW                                            1
OGGY                                               1
GINETZ                                             1
JAWATILAKA                                         1
MUSSLEWHITE                                        2
BASANI                                             1
BIBAUD                                             3
BELLIEVEAU                                         2
LAMBLEY                                            2
BLISSETT                                           2
FIKUS                                              2
TURTA                                              8
DENET                                              3
FOLKERSEN                                          5
VERDONK                                            5
CUNARD                                             11
NYEN                                               5
DE LAFOREST                                        3
SACENIEKS                                          1
ZIEGERT                                            1
BYTNER                                             1
LAVADOR                                            1
DOVALE                                             2
MANLOZE                                            1
ZUTIS                                              1
HATOM                                              1
HEGGELER                                           1
LAVOIE-SCOTT                                       1
SIDORAK                                            3
C/O MICHEAL FAUVELLE                               1
AZEEZ                                              5
DENCHUK                                            5
SKOROBOHACH                                        3
OLAFSSON                                           4
KROGSTAD                                           6
SMYTH/IN MEMORY OF ROY                             1
WIRZBA                                             8
RICHARD-GAGNON                                     1
JULL                                               5
ZEJNIC                                             1
RIIKONEN                                           1
MESSOUD                                            1
SURAKKA                                            1
BARAAWID                                           1
BAWJA                                              1
MLETZKO                                            1
POURCHEZ                                           1
FINGERHUT                                          1
JOSIPOVIC                                          1
DEVEROU                                            1
SIMUNDSON                                          3
MCKILL                                             1
DQAVIS                                             1
KUSNIAK                                            3
BROCKWAY                                           24
DIEDRICHSEN                                        2
RIETBERGEN                                         2
AHLEFELD                                           2
YANAGI                                             1
HUMINUIK                                           1
NAKHLEY                                            1
OFUME                                              1
CALPI                                              1
KROLLMANN                                          1
YOGENDRAN                                          1
PARNO                                              2
M RUDACHYK MD                                      1
ALSHAKHANBEH                                       1
SHULKO                                             6
FRANCINE                                           3
TUCAY                                              1
MELAMED                                            4
ATTELTON-SMITH                                     1
SABATINI                                           4
SIVALINGAM                                         2
KERESTESH                                          3
PSOCH                                              1
SHORTRIDGE                                         7
HEWTON                                             4
NOTLEY                                             9
FRUH                                               1
O'BERTOS                                           2
MANDLEBAUM                                         1
VIGAS                                              1
M RIDEOUT                                          2
GARINTHER                                          2
MCCLORY                                            1
KOSOWICH                                           1
BLICQ                                              2
ELLAM                                              2
BEZNER                                             1
JAAGUSTE                                           2
PARWANA                                            2
MACHNIAK                                           15
PATASKY                                            2
BENKIE                                             3
MASIAK                                             2
CULVERT                                            1
BALANGA                                            1
R KENDALL                                          1
HIRSHKA                                            1
PRESNEDE                                           1
MC C                                               1
FORMANIUK                                          2
RIGETTI                                            3
BODREAU                                            2
NALLUSAMY                                          1
KHAIYUM                                            1
& AUDREY CHAULK                                    1
///                                                3
LODE                                               2
KEHRIG                                             21
VERGOUWEN                                          3
PENTYLIUK                                          2
ASTALOSCH                                          1
BALLECER                                           1
LOTUN                                              1
YARDEMIAN                                          1
DANJOU                                             1
DAYEH                                              1
BERNST                                             1
CHERNOS                                            1
SINSON                                             2
TRUMBULL                                           1
TRIGAULT                                           2
PARACHNOWITSCH                                     2
KAVIA                                              5
LEITHEISER                                         3
GORGUIS                                            4
VAN RENSBURG                                       2
WELTE                                              6
PUDDIN                                             1
RAKOCZY                                            3
LONNEE                                             1
LEVINSON                                           5
HAGARTY                                            13
SMID                                               24
OSIOWY                                             38
ALLOUSH                                            1
STOJANOVA                                          1
EVANGER                                            1
DOCKINGS                                           1
OSIFESO                                            1
DALIC                                              1
GURMESSA                                           1
BIGALBAL                                           1
JUDELSON                                           3
HADEN                                              3
KRASNY                                             2
MINHAS DDS                                         1
DORMIEDY                                           1
WELICKO                                            1
CALES                                              5
EADY                                               30
ZABA                                               12
DESBRISAY                                          2
BLASEG                                             1
CHAITANYA                                          3
KACHALUBA                                          4
REEMS                                              2
BUZZARD                                            1
LA MOTHE                                           2
RIDDEL                                             6
SCHIESTEL                                          13
FRAIL                                              49
ATWATER                                            30
BLEEKS                                             2
WHITCOMB                                           14
WHEY                                               12
BLUSTEIN                                           1
WENGELINSKI                                        1
SOLKSHINITZ                                        1
WIMISH                                             1
PRAGER                                             5
FAX & PAINTER GUY                                  1
OLYPORK                                            1
GERENA                                             1
BOOG                                               1
KORZ                                               2
LEDAIRD                                            1
SAINT THOMAS                                       4
RUI                                                3
RIA LEBLANC                                        1
COUPERWHITE                                        1
NARAIN                                             5
KOHLSMITH                                          5
IWANCIW                                            1
COLLETTA                                           1
FALSNES                                            1
CLEVELAND                                          212
MARSHALL-THOMPSON                                  1
BALAZS                                             10
KALGUN                                             1
GRONVOLD                                           11
STUUT                                              2
CHRVALA                                            1
WYONCH                                             1
ADESALU                                            1
MARAPAO                                            1
HYBNER                                             1
ROMPHS                                             2
PLAWSKI                                            1
TATSUMI                                            2
VEIT                                               6
MOROSAN                                            1
BRETH                                              1
BENFEY                                             2
DAPROCIDA                                          2
KASHUBA                                            26
CHARBONEAU                                         7
CURRENCE                                           3
DAKEN                                              11
TAJWANCHI                                          1
HEMMINGSEN                                         2
STROH PHD                                          1
PHANGURA                                           2
LOWN                                               1
ARSENEAULTT                                        1
MAMCHUK                                            1
BEKUS                                              1
SHERGER                                            2
OBACH                                              7
GOSZULAK                                           2
CHERNS                                             2
AGBOBLY                                            1
HEBDEN                                             5
MCVETTY                                            1
BIELESCH                                           5
ABOUGHOCHE                                         3
DOROTHY HOGAN                                      1
CAMARENA                                           1
KORNEV                                             1
ZIEFLIE                                            1
ANN LEBLANC                                        1
MANIROCKIZA                                        1
WATEMAN                                            1
DONN-BARKLEY                                       1
MATUTE                                             1
BLOMERUS                                           1
FACCHINELLI                                        1
MCKINNNEY                                          1
VANLANKVELD                                        1
YOOYA                                              11
SIMONETTA                                          5
SVANDRLIK                                          2
JEUNG                                              1
NETTLETON                                          15
BLUM                                               44
MAC MILLEN                                         1
PROTZ                                              14
JANNETTE                                           1
RENNALLS                                           1
VANJANI                                            1
KWOKWAH                                            1
BARRERAS                                           2
MLINAREVIC                                         1
BAKHSH                                             2
NEVILLS                                            2
QUMARSI                                            1
THRING                                             8
KEALL                                              7
MAC FADDEN                                         4
WERZUN                                             2
JANISKEWICH                                        1
KAROW                                              4
SORIAGA                                            1
HOHENDORN                                          1
Schraud                                            1
KULMATYCKY                                         1
SHOBBROOK                                          1
ADLA                                               1
SOUZA                                              11
ZABUTNYY                                           1
NAVRATIL/IN MEMORY OF MORRIS FISHER                1
ZUMEL                                              2
DE STANIF                                          1
LAWRY                                              5
WHIBLEY                                            6
HICKSON                                            39
NITKIN                                             1
GAUMOND                                            6
PARADISIS                                          1
GANNETT                                            1
Dailpay                                            1
LAGUS                                              2
ZAHAYKO                                            2
MAISY                                              1
STANLEY-TURNER                                     1
HIKOSKI                                            1
KOURULA                                            1
NOSEK                                              3
SLASYNSKI                                          1
RAPOS                                              1
MACCARVILL                                         1
GECK                                               8
FLATEN                                             18
FLORE                                              2
TREMAYNE                                           2
RIKHI                                              3
LUNDGAARD                                          1
LEWIN                                              44
KOSTIUK                                            43
CAUFIELD                                           11
HAVER                                              5
ZAK                                                36
BARAHONA                                           13
HILLERT                                            2
KORCHOSKI                                          2
FRICKEN                                            1
MCGAW-SIVIERO                                      1
DELIAS                                             1
SAINBURY                                           1
LI HO                                              1
TOPOLSKI                                           1
HERTWIG                                            1
RUPNOW                                             4
CATE                                               1
HRYMAK                                             2
COLOURNE                                           1
SORATHIA                                           4
MORAVA                                             3
STALENHOEF                                         4
CHIARELLI                                          3
PANDE                                              2
PRYMACK                                            2
DEL GRANDE                                         1
HALLEY                                             60
POLOWY                                             6
PESSIN                                             1
KRAKOWEC                                           1
MATTATAL                                           1
RODGER                                             83
NABUURS                                            17
VANDORP                                            2
GORBON                                             1
NIMA                                               1
GARCEAU                                            7
PUCYLO OD                                          1
TROIA                                              1
MAUREL                                             1
HOBELSBERGER                                       2
MARTSINKIW                                         5
FITZPATRUCK                                        1
MATTINA                                            2
DES VIGNES                                         1
MANNILA                                            1
BRANDOLINE                                         4
KLOEBLE                                            7
MACCARL                                            1
MCFELLAN                                           1
LANGHOFER                                          4
DARA                                               3
SAXELBY                                            1
MINEAULT                                           12
LAURAN-MOUSSEAU                                    1
WENDEL                                             16
FEDRAU                                             7
TESSELAAR                                          5
WINZER                                             4
VANHOUWE                                           4
PRIESLER                                           1
DUFFIEEUX                                          1
DAVIS/LOVING MEMORY OF HAROLD DAVIS                1
KENEPT                                             1
SEGI                                               3
LYTH                                               1
PALMIZI                                            1
JARRER                                             1
BONNIE JANES                                       1
HESSOM                                             1
Wegemer                                            1
OGUNFUNWA                                          1
Patrsyk                                            1
MC CARROLL                                         1
GLENN PADY                                         1
JUZYK                                              2
COMESSOTTI                                         1
BENGASSEM                                          1
SAMPARADA                                          1
HAGALI                                             2
ARAIN                                              5
SVERDLOV                                           3
FEHI                                               1
BORROS                                             1
AHEE                                               1
JARBO                                              1
KADISCH                                            2
KRUITHOF                                           4
WOEHLER                                            1
MOURITZEN                                          1
BLATZ                                              71
GROOTENDORST                                       3
YLEA                                               1
SMULL                                              1
MCNARRY                                            1
PAPELLERAS                                         1
ARITIS                                             1
LIGTELYN                                           1
C/O KATIE GREEN                                    1
BICHSEL                                            1
MERIWETHER                                         1
LIVERGANT                                          1
HAREUTHER                                          2
KLUMP                                              3
PIROZOK                                            1
HIEBERT DC                                         1
EUN KIM                                            1
NGENZIRADONA                                       1
FRIEDENBERG                                        6
ENNEST                                             2
PODGURSKY                                          3
KALICH                                             1
MIFCH                                              1
JONES - MANUEL                                     1
LENNIE                                             61
MARSHAK                                            4
SAURO                                              2
WOOD ARCHER                                        1
A DE LUNA                                          1
BANG                                               36
RAJABALI                                           3
ALAFANO                                            1
SHIPLAK                                            1
YUGU                                               1
BONCOEUR                                           1
ZIETZ                                              1
FEDEROW                                            2
LUBO                                               1
KEMPTON-DOANE                                      1
MCBRASS                                            1
DOTSE                                              2
SOUIED                                             1
SCEEREY                                            1
ALLEN-ELLIS                                        1
DESSOUROUX                                         2
HITTLE                                             2
BREGEDA                                            1
KONCZAK                                            2
MCELHINNEY                                         16
CHERKAOWI                                          1
ENAYA                                              1
KAPSAVOS                                           1
LOW PE                                             1
SANOUS                                             1
TORRENCE                                           4
PAULETTE                                           12
CABANILLA                                          2
WILDY                                              3
BUSCHOLL                                           4
SRA                                                13
KORDOSKI                                           1
KALOUSIS                                           1
PERGIS                                             1
ZETTING                                            1
MANAGRE                                            1
P S AULAKH                                         1
CRYSTAL CLEAR ROOFING                              1
ELLIG                                              3
LAYTON-POLLOCK                                     1
GOLLETS                                            1
BROES                                              1
BONDLI                                             1
MATAS                                              8
PAXMAN                                             13
HUNT-FONTAINE                                      1
HORECHUCK                                          2
RELKOFF                                            4
BLODORN                                            1
BURKITT                                            19
SANSOME                                            48
SHADBOLT                                           20
ABBAS                                              37
VAN VELZEN                                         2
HOLZKAEMPER                                        1
EGRAWAL                                            1
ROCKPORT                                           1
BARLIN                                             1
SEAMARK                                            1
MARC ROUSSEL                                       1
CALDOVI                                            1
LISSTER                                            1
ROFRANO                                            2
TOMAYER                                            1
BUCIORA                                            1
PURA                                               15
GRABLER                                            5
CAMPBELL SR                                        1
MOZESON                                            1
FJALESTAD                                          1
KRUSH                                              6
BERNARD MCLAUGHLIN                                 1
HEEMSKEERK                                         1
LUOMA                                              2
CAMERON-PETERSON                                   1
SWEETWATER                                         1
RACHYNSKI                                          5
ANGEARD                                            1
MULZET                                             1
AFI                                                1
SEREBRIN                                           2
GRANDVOIS                                          1
BLACZCOZOK                                         1
HIKEY                                              1
KORDOBAN                                           1
JOHNSSTON                                          1
MACAURTHUR                                         2
LOCKERBIE-FORRESTER                                1
SCHEIDACKER                                        2
MUSAPHIR                                           2
ZEVOLA                                             1
AL-DAGHREER                                        1
VANDERBECK                                         8
RAHAL                                              23
PAYSON                                             10
BOGUE                                              8
WERNICKE                                           18
SYAN                                               2
YAKU                                               1
SHONING                                            1
AL RAFAI                                           1
BACHEWSKY                                          1
TUCKENOW                                           1
TORBERH                                            1
RYBACHUK                                           2
FREHLICH                                           10
ROBERSTSON                                         1
MCAVINEUE                                          1
ROBICHAUD-BASQUE                                   1
MANUKOVA                                           1
LAAMANEN                                           1
MORAVEC                                            7
PODRUG                                             1
BUCHANSKI                                          1
JIVKOV                                             1
SCHRECK                                            3
MCGUIRE                                            384
PORTELANCE                                         9
MONTESS                                            1
QUEK                                               7
CORNBILL                                           1
HANEM                                              1
KALAYDIN                                           1
SEGRETI                                            1
GOUDET                                             1
SANQUE                                             2
KAZZOUH                                            1
REALES                                             1
TREMPLAY                                           1
VEYLAN                                             1
PROCUIK                                            2
BRABAZON                                           1
BENFIELD                                           3
LULIC-KRAJAC                                       1
COMELY                                             2
DALMAN                                             24
KRISTENSEN                                         56
KELEHER                                            37
STRIHA                                             5
RUDERICH                                           1
ZOEB                                               1
HUSZKA                                             1
MITTELSTET                                         1
PERESSUTTI                                         1
BISSOONDATT                                        1
JABBOROV                                           1
JAUVIN                                             1
Leszczewski                                        1
MACBURNEY                                          1
BAITINGER                                          1
DUSANOWSKYJ                                        1
SUSSIAN                                            1
GLOWED                                             1
A MICHIE                                           1
NGUNG                                              1
ALIBHAI                                            15
AZUCENA                                            3
THIRU                                              3
IWAN                                               1
SATINK                                             1
WHITTLE SR.                                        1
PREBUSHEWSKI                                       14
BOSMAN                                             26
IEONG                                              2
BURBEE                                             4
STADNICKI                                          2
MOSTYN-BROWN                                       1
AGASI                                              1
DZIEDZIELA                                         1
TIRANDAZ                                           1
NDAYIRAGIJE                                        1
F CAMMIE                                           1
AROMIN                                             1
TRENTACOSTE                                        1
OSOKOYA                                            1
BENSMORE                                           1
MASIGLAT                                           1
BARCO                                              2
BATTISTI                                           1
QUITELY                                            2
KAVEH                                              2
VANBLARCOM                                         4
NICKERSON-DEWOLF                                   1
SUNGA                                              10
LUTZCAK                                            2
QUILALA                                            1
ALSAADOON                                          1
GEES                                               1
BRISSEAU                                           2
KATAQUAPIT                                         1
PRATLEY                                            4
MASHON                                             2
JOUMELAC                                           2
SHERVEN                                            3
MAC INTRYE                                         1
FESSEY                                             2
THRASHER                                           32
CLAYBOURN                                          5
VOLPE                                              36
LINGREN                                            9
BLINSTON                                           2
ORBAN                                              29
BROWN-BORM                                         1
MC FADDIN                                          1
K MAH                                              1
AND DENNIS JONES                                   1
LAMEIRE                                            1
STELMAR                                            1
USHER OD                                           1
SQUIRREL                                           10
DELLIOS                                            1
BRASETH                                            2
RUTNER                                             2
KILBRADE                                           1
AWALI                                              1
LEHNE                                              13
NASMYTH                                            2
DANABASSIS                                         4
LUEDEY                                             8
SCHERESKY                                          2
MICHENKA                                           1
TRZEBIATOWSKI                                      1
DOUB                                               1
BAUER-HUDSON                                       1
KHIVA                                              1
ZEXIA                                              1
PACI                                               2
DEEMERT                                            1
MASZCZAK                                           2
JUTISCH                                            2
CLARETTE                                           1
SIOUI                                              1
MARKUSON                                           1
BELANGER-TURCOTTE                                  1
SHOVKUN                                            1
ROACHE-BRAGG                                       1
ROSCHER                                            1
EMILE DUGUAY                                       1
MOYLS                                              7
BYBLOW                                             21
BROKKEN                                            5
KERPTERIEN                                         1
KRISHER                                            3
OGWUEGBU                                           1
HOUBE                                              1
STEWART DC                                         1
POZKINOFF                                          1
BAILLE                                             2
VASANJI                                            1
KAPUSIN                                            1
ETCHEVERRY                                         6
APPERLY                                            3
HILTZ-CHAISSON                                     1
SHELLNUT                                           1
SOUCY/ARLIN COMPANY                                1
VAN GENDEREN                                       2
WAQAR                                              2
NAKAMOTO                                           4
KRISTJANSSON                                       9
RUATTN                                             1
BHAGIA                                             1
MAHMOUDI                                           1
JAPBO                                              1
MAREANA                                            1
MATHAUSER                                          1
TWYFORD                                            3
CHARKEWYCZ                                         2
SWANNEY                                            4
MERDINYAN                                          1
SCHULTS                                            2
LEBANO                                             1
CHOISNET                                           8
RITMAN                                             3
PAWLICK                                            8
STRYKER                                            8
Brassar                                            1
HENFRY                                             1
PILARSKI                                           1
JOMPHE                                             5
BISHARAT                                           2
HUESTIS                                            56
RAGHAVEN                                           1
BRICKLEY                                           6
MURPHY-GARNER                                      1
SCHEFFER                                           11
TICHKOWSKY                                         7
PADAYHAG                                           1
Czymoch                                            2
FLETHER                                            1
HARTFIEL                                           1
JAKSA                                              1
DUREC                                              1
SIRULLO                                            1
FRIGO                                              3
MCKEE-JUDD                                         1
MONAIS                                             2
SANTARIN                                           2
TERENDY                                            1
RIOPELLE                                           7
MC NIEHT                                           1
JOUDAN                                             1
MERASPY                                            1
SCHAUMBERGER                                       1
FRIGAULT                                           139
DURELLE                                            72
VANSUMMER                                          1
KENDRA BROWN                                       1
MAVROYANNIS                                        1
BURLES                                             7
MATEUFEL-GRAJCIAR                                  1
MAMTAZUR                                           1
MOSTYN                                             1
SBROZZI                                            1
CHAR                                               7
CONNORS-TORRES                                     1
CHANG DDS                                          1
MUGFROD                                            1
MAC MILLUN                                         1
EL KELANI                                          1
SCATTERGOOD                                        4
SENGOTTA                                           2
WATTAM                                             3
ALLARIE                                            23
SLAWINSKY                                          2
KUBLU                                              2
BOOTHROYD                                          12
MOE                                                79
FISTER                                             6
GOVENDER                                           16
CATHERINE SNOOKS                                   1
CANAVAN                                            27
VANDENOBELEN                                       1
SHOLS                                              1
BAMRAHA                                            1
MANING                                             1
BOBO                                               2
BELEUTZ                                            1
PARRNAR                                            1
RYNAR                                              1
MACAUCHLAN                                         1
KAWADE                                             1
BORODITSKY                                         6
LEARDS                                             1
HOLOWATUK                                          12
SPARKSMAN                                          1
HOESSLER                                           1
MIERLO                                             2
HEAVISIDES                                         2
ARAYA                                              21
R. LEWIS                                           1
RUZAK                                              1
SCHRIEMER                                          13
HERRINGTON                                         80
CRAIGEN                                            13
SCALET                                             1
ABU-ZAHRA                                          1
KETCHIN                                            2
KJARGAARD                                          5
CASERA                                             1
OIG                                                3
MALLIAS                                            1
KOJLO                                              2
GEBLER                                             1
DURAID                                             1
KASIR                                              1
BIDESE                                             2
VANDE VYVERE                                       1
PERRELLA                                           3
SENK                                               2
BLUMENTRATH                                        1
KAISOWATM                                          1
DUSEN                                              2
KITAFUJI                                           1
AXIM                                               1
MATECHUCK                                          17
SAWTHUCK                                           1
MACHURE                                            1
SUNNER                                             14
DOXSEE                                             3
