fname                                              count
BERNADINE                                          1
BOX 236                                            1
MRS JACQUES                                        1
VON WELFLIN                                        1
MINNIE-ANNE                                        2
MAIROM                                             1
MILLEN                                             1
J R STEWART 12867 SHORE RD                         1
JAMES A                                            34
EJ                                                 11
MRS DEREK                                          1
MR. JUDITH                                         1
RONAK S                                            1
YICK                                               2
GLEN/MRS                                           1
BOBIE                                              2
DAN F                                              1
IRIENA                                             1
DARKE                                              1
ROARKE                                             1
LAZARO                                             2
YOUNG HWAN                                         1
BALBINA                                            2
MALULU FRAN                                        1
MRS. RAYE                                          1
C J SORGINI                                        1
JUE                                                2
ROMELITO                                           1
EVARISTO                                           2
DENTREMONT                                         1
ELAHE                                              2
URBIN                                              4
SAAD                                               24
MARY LYN                                           4
TAGE                                               4
HAMILTON KOPPERUD                                  2
EVA                                                3
MALATH                                             1
GAST                                               1
MME ROBERTA                                        1
RUIFENG                                            1
W P                                                1
TERISA                                             2
LEILLA                                             2
IEBELING                                           1
TOM/DAVE                                           1
MISHELENE                                          1
SITU                                               1
Granny                                             1
SRIKRISHNA                                         2
JOHN & DOROTHY                                     1
DALAL                                              3
JODY/ DARLENE                                      1
MARY ISABEL                                        1
IRENEUSZ                                           4
V BALACHANDRA                                      1
MRS LUELLA                                         1
HENRY 109B                                         1
NYATAK                                             1
RHIANDA                                            1
CHIEF THERESE                                      1
D S MCREYNOLDS                                     1
MANDIR                                             1
DUCAS                                              1
TREMAINE                                           4
TABETHA                                            6
KWANG-HO                                           1
OLE / BERNICE                                      1
BYRENE                                             1
ADELOYE                                            1
CRON                                               1
JULIJAN                                            1
EVELYN GOLDFARB                                    1
KRISTY TOWELL                                      1
EIRAEH                                             1
DAVID A SMITH                                      1
MEI-LING CHAN                                      1
MICHAEL J MACNAUGHTON                              1
METT                                               1
DOREEN                                             5
LUCIENE                                            1
SHAJAD                                             1
ROBERT ET EMELIE                                   1
ARISTIDE                                           1
SAH                                                2
ARZO                                               1
SHERARD                                            1
ANDY V                                             1
ERRON & MARY CHARLOTTETOWN CHARLOTTETOWN           1
DONALD A N                                         1
MS JOCELYN                                         1
MME & LUCIEN                                       1
K CHOW                                             1
SANTALEETA                                         1
SEFTON                                             2
KEN & NOREEN                                       1
KELLAR                                             1
DOUGLAS  / SANDRA                                  1
COLIN    KATE                                      1
SUZANNE CARON                                      1
SHENEEN                                            1
CLIFTON`                                           1
GOODSPEED                                          1
ANNATTE                                            2
MCKILA                                             1
ANDRO                                              1
GAULTON                                            1
SUNIL                                              53
SECRETE                                            1
JEFREY                                             5
JOSEPINE                                           1
TUIRE                                              1
XIUMEI                                             1
JERRY & VELDA                                      1
MARICELA                                           1
ERNAST                                             1
YAKUB                                              1
PETER F THOMPSON                                   1
GERALD J                                           9
SAFDAR                                             3
P.O.                                               1
MARYA                                              8
YOUWU                                              1
SOSIAN                                             1
DR. MARINA                                         1
ELADIA                                             1
PINKAL                                             1
JOSEFINE                                           1
ONILE                                              22
ENOS AND EVELYN                                    1
MIKE ET  MYLENE                                    1
DARCY & CURT                                       1
MARG                                               1
MARK YEUNG                                         1
dr j matthews                                      1
SAKET                                              2
ALICDE                                             1
WILFRED ROLLO BAY                                  1
COTTREL                                            1
WAHIDA                                             1
GLORIANNA                                          2
HUOC                                               1
FR.                                                1
TRUYEN                                             1
MELAK                                              1
STACEY-MARIE                                       1
ETHEL ANN                                          2
MARTINNE                                           1
GIA                                                7
JOINER                                             1
LYLE A                                             1
KLAUS                                              122
HORRIS                                             1
JAGJIWAN                                           3
KELLY J C                                          1
PHAP                                               1
A M HABJAN                                         1
POILAS                                             1
KENNY ZHANG                                        1
H HADDAD                                           1
R RAGHUNAN                                         1
TAKEYTHA                                           1
AKAITCHO                                           1
FAIROUZ                                            1
VITALE                                             1
MOSARRASA                                          1
C EBENEZER                                         1
ELIZABETH A                                        7
BENITO                                             15
LEOPOLD                                            75
ALBERT & MICHELLE                                  1
JUDY, MIKE                                         1
MRS. WILLIAM                                       1
GUIVO                                              1
SEIG                                               1
STONE SIERRA                                       1
TA-MEE                                             1
JULAEN                                             1
NORINE                                             49
SHERYL A                                           1
BURPEE                                             5
PAULETTE & DEAN                                    1
YUGTKIN                                            1
EVERARD                                            7
KHALEDA                                            1
CAROLIN SHEPHERD                                   1
ELISEBETH                                          1
FOSTER N                                           1
ROSLIN                                             5
Dr. Shariff                                        1
MRS BRAD                                           1
WM R COLUMBUS                                      1
SUBRAMANIAM                                        1
DANIA                                              8
TISCHA                                             1
KILBY                                              9
ANATOLI                                            5
MRS LEONIE                                         1
MISS SHELAGH                                       1
AUDREY WARNER                                      1
FAVELL                                             2
MME ALVIDA                                         1
ELIODORE                                           2
MYBRITT                                            1
Liannora                                           1
SHERV                                              1
J GARRY                                            2
STELLA MARIE                                       3
MS RAE                                             6
AIRD                                               1
SAMIULLAH                                          1
JAN MARIE                                          1
JAKE/VIRGINIA                                      1
ANTONINE                                           2
DEBBIE AND RALPH                                   1
PISANI                                             1
ZARRA                                              1
S & H BAYVIEW HEIGHTS                              1
R HORSESHOE BAY                                    1
LAAC                                               1
ARETTA                                             2
DEAVAH                                             2
JAMES BROWN                                        1
PAUL MERGLER                                       1
MILY                                               1
JOANN V                                            1
GABY                                               32
THERESA ANN                                        1
ARNESSA                                            1
NITA                                               1
WILLIAM P                                          7
J R BROOKFIELD                                     1
GARY / PAT                                         1
BETH & PRESTON                                     1
CORNELLA                                           1
NEIL M                                             2
CORY AND MARTY                                     1
L A                                                13
RONG LONG                                          1
SPUD                                               2
T-K                                                1
SANDY BHASIN                                       1
DAMINEN                                            1
SANG-KOOLEE                                        1
ANDREA CENTA                                       1
JOHN & KIM                                         1
LORENZO F                                          1
H EDITH                                            1
MR. KISTEN                                         1
GWENDALYNN                                         1
LNOEL                                              1
MAMOUN                                             4
SONGKA                                             1
RUNGUANG                                           1
YUNTIN                                             1
LAURIE E BARRETT                                   1
LINLEE                                             1
TRAQUENA                                           1
OLUWANISOLA                                        1
JENNA F                                            1
KAMY                                               3
KAHKASHAN                                          1
KAHADI                                             1
ERK                                                2
HYUNKYUNG                                          1
WLODZIMIER                                         1
CPL.                                               1
JUNGSOO                                            2
LOUENE                                             1
HOSS                                               3
YORI                                               1
R A KLASSEN                                        1
JOHN SPINA                                         1
YUSSUF                                             1
OKANA                                              1
MME.ALINE                                          2
ARNOLD H ZWEIG                                     1
CHERYL-LYNN                                        1
PATRICK BARNABE                                    1
KEOMA                                              1
DARREN/JOAN                                        1
JULIOR                                             1
ADESOLA                                            3
ZHUOJUN                                            1
BAIHAN                                             1
DARREN BERLINGUETTE                                1
ANDRE GUY                                          1
CHRISTA SOUTHERN SHOR RECYCLING DEPOT              1
CALANDRA                                           1
MR ASHER                                           1
KATARI                                             1
IAN N KADY                                         1
DR. ELSHAER                                        1
mrs JIM                                            2
Ardon                                              1
ROV                                                1
JAMES HARRISON                                     1
MARK AND JOANNE                                    1
MR. ET MME. LIONEL                                 2
LAI CHEE                                           1
YUKIMASA                                           1
ENOV                                               1
MICHELLE FRYER                                     1
ANITA M                                            1
NANCY J                                            1
WOJTEK                                             9
COL. BARRY                                         1
KLEDA                                              1
GEMAYEL  EL- CHALFOUN                              1
BRAD & ROSLYN                                      1
M LINKLETTER                                       1
ALANNNA                                            1
CHE-SUB                                            1
GAIL ATTY                                          1
GERALD / NORMA                                     1
RIME                                               1
JENNINGS                                           1
ISABEL                                             422
LINDA & LÉONCE                                     1
JONNIE-LYN                                         1
INGIBJORG                                          2
DEREJE                                             2
MELLISSA/TIM                                       1
SLOBDAN                                            1
CHARLOTTE CONLIN                                   1
LEONARD TERK                                       1
RICHARD REYNOLDS                                   1
R H KIM                                            1
TLAVIS                                             1
SUNISH                                             1
HUGINA                                             1
MICHEL                                             10
LOUIS-MARCEL                                       3
JARA                                               3
KRSTYLE                                            1
K B                                                2
TERES                                              1
PATINA                                             2
mrrs                                               1
VONERIC                                            1
ATTRACTA                                           1
ATENDRA                                            1
MRS.  R                                            1
LOZIA                                              2
TIMOTHY R                                          3
GLEN D                                             6
DALE M                                             3
WULF                                               8
MENDEEP                                            1
ISOBELLE                                           3
G W WALL                                           1
MARDCO                                             1
MARDERE                                            1
EILONA                                             2
TSUNEO                                             1
JENNIE                                             1
BAHIR                                              1
DREVER                                             1
NANIANSHE                                          1
DR. LISA RINO                                      1
DRIZZT                                             1
AURALYNN                                           1
LOVYL                                              1
WATTON                                             1
SHANDRA                                            18
EMANUELLA ET MICHEL CHIASSON                       1
GREN                                               7
JESVINDER                                          1
NIRVAIR                                            1
POLYTIMI ANNA                                      1
BUNCH                                              1
JUREK                                              1
SONA                                               5
DR  AMANDA                                         1
SIMON LIU                                          1
COULTER HBSC SUSAN                                 1
SAWYER                                             1
PIEREETE ET RINO                                   1
Glennyss                                           1
MME, ARSENE                                        1
DE MEUTTER DAVID                                   1
GENNADIY                                           5
MR DELLAN                                          1
ANS                                                2
RAMONDA                                            1
MRS KATHY                                          5
MARNEL                                             1
NAMEN                                              1
KIRRA                                              1
L & G                                              2
TONGDA                                             1
TAMMY/LES                                          1
MARICOR                                            1
MR. KRISTIAN                                       1
KENNTH                                             3
SEVBIJI                                            1
JASWIR                                             1
NESHA                                              2
JOE AND NATASHA                                    1
CHANG-CHUN                                         1
BRAD CRAIG                                         1
SATAM                                              1
REJEANNE                                           92
MARC-ANTOINE                                       5
KARON                                              19
BABAK                                              12
MR. FELIX                                          1
JOHN H YOO                                         1
METIS NATION                                       1
D STOCKWOOD                                        1
LAD KUCIS                                          1
DAYSHA                                             1
GEOFF CAZZOLA                                      1
HYDIE                                              2
ANNALIESE                                          1
NEEDHAM                                            1
MS. JODY                                           3
MS ELHAM                                           1
RUNYON                                             1
BUSAN                                              1
ATHELIA                                            1
ERNEST G TANNIS                                    1
LANTEIGNE AUTO SALVAGE                             1
JOHN A CADIEUX                                     1
WG                                                 1
MARVEN ABNEY                                       1
JEN                                                446
PAULIN                                             14
ESFEHANI                                           1
MRS DWAYNE                                         1
ARLENE/ROBERTO                                     1
RONALD TOMOSK                                      1
E & H                                              1
GIACINTA                                           1
AMARPARTAP                                         1
HEEUNG                                             1
BRALEY                                             1
FRANCIEN                                           1
ELISABEHT                                          1
ED J                                               1
MIKYUNG                                            4
E T                                                5
CANICE                                             2
TSHUKASH                                           1
MAHEDI                                             1
LÉO                                                1
DAVID A FRAM                                       1
CARRON                                             3
TRECARTIN                                          1
DARWIN & DONDE                                     1
MALKIT                                             15
MYRT                                               8
JAAKKO                                             1
GYS                                                1
NOAM                                               3
AKEEM                                              3
DE CAP                                             2
TSIGE                                              1
FLECKNELL                                          2
STANLEY STEIN                                      1
WILLIAM H MCILWAIN                                 1
MATILDA MRS                                        1
REAL                                               1
LYNNE AND GORDON                                   1
BARRY L                                            1
QADIR                                              2
MR. DUKE                                           1
JENEFE                                             1
S & R                                              3
RINO VENDITTI                                      1
GRANDY                                             1
GERRY MEDSTEAD                                     1
CHARLES / LOIS                                     1
KRISTYN                                            11
J CHRIS                                            1
YASMINI                                            1
MR & MRS EDWIN                                     1
RICHARD A COUTTS                                   1
CHRISTIE MUNRO                                     1
MS MARTINA                                         1
OCARIZA                                            1
ANJELENE                                           1
YAND                                               1
PERY                                               1
MME YVON                                           6
BIRGER                                             4
TRIENA                                             4
KEVIN & LUCINDA                                    1
UYEN                                               5
SURRINDER                                          3
DABE                                               1
DAGMAWI                                            1
GHASSEMI                                           1
MURVIL                                             2
ODESS                                              1
LARRY & KERRY                                      1
GURPRIT                                            7
SANDIE G                                           1
CRYSTA                                             8
DAVID.TREVOR                                       1
JEFFREY B GOLDENBERG                               1
DR. SIEGMAR                                        1
JASON & WENDY                                      1
MIRJAM                                             3
BERGEDDA                                           1
LARRY/TED                                          1
STARRETT                                           1
K TALAAT LOTFALLAH                                 1
JESSILEYN                                          1
BARYL                                              3
EADY                                               1
KEESHON                                            1
MANOUCH                                            3
RUI                                                27
COLLETTA                                           1
NICOLE & STEVEN                                    1
LANELL                                             1
LAURIE A VARCOE                                    1
HALA SHAKHATREH                                    1
KOLA                                               4
JEOMSUK                                            2
ERIL                                               1
AVRUM                                              2
DR. S.                                             1
MR GABRIEL                                         1
MAYSSOUN                                           1
SIC                                                1
PAUL/ERICA                                         1
WALI                                               3
TREVERS                                            1
LIEZEL                                             1
MAYSOON                                            1
ENRIQUE                                            43
PASTOR GORDON                                      3
MRS ROSE-MARIE                                     1
JONNA-LEE                                          1
ANGELIN                                            1
JEREMY 15 BEECH                                    1
GARY PATTISON                                      1
DR NOURHOSSEINI                                    1
FRANCEIS                                           1
PEARRE                                             1
GELEL                                              1
R MACDERMID                                        1
CHIEF STEEN                                        1
MOHIV                                              2
CHE SHICK                                          1
DARRELL MUNN                                       1
R L GOLDSMITH                                      1
RICHARDINE                                         2
RP                                                 2
GIOMME                                             1
DOUGLAS H HANCOCK                                  1
BARHAR                                             1
FLORABEL                                           2
OSAER                                              1
GOPHEE                                             1
DAVID ET MONIQUE                                   1
CORINNE R                                          2
HALVAR                                             1
DR. YVES MARTIN                                    1
JOHN E MCGARRITY                                   1
HANS-JOACHIM                                       1
KATHERINE HENRY                                    1
DOUG PETER POND                                    1
BARABRA                                            19
MARLYESE                                           1
ANJALI                                             6
A. GERMAINE                                        1
KENNER                                             2
SUSHIL CHOUDHRY                                    1
DHEY                                               1
DEWARE                                             2
MARIE DORA                                         1
SAHANA                                             2
ANNILENE                                           1
KAROBIN                                            1
CORINNEA                                           1
ROSALYN                                            81
MARK & JUNE                                        1
MAJOR LINDEN                                       1
LAUDRICK                                           1
JENNIFER A CONROY                                  1
BANIALA                                            1
GEOVANY                                            1
BARTEK                                             2
WILLIAM & MARJORIE PLEASANT GROVE                  1
SUNG                                               50
:MARY LOU                                          1
PHIL & KATHERINE                                   1
TIENG TRONG                                        1
MR. LUK                                            1
CHARLEENE                                          2
J B JONES                                          1
GUY DUFORT                                         1
L G PHILLIPS                                       2
EMILY KELLER                                       1
FITHAWE                                            2
CHAZ                                               6
FRAN & NICK                                        1
SINJE                                              1
RONCO                                              1
PIYALI                                             1
MARIO JASRMUSKE                                    1
ABIONA                                             1
KEVIN/GENE                                         1
GRAEME COFFIN                                      1
LJ 208 OLD                                         1
ERIK L                                             1
PILKOO                                             1
XERXES                                             1
RHODEY                                             1
SAFONIA                                            1
TEONNA                                             1
L MARK                                             2
CORMACK                                            2
MISS LUCY                                          2
DORA Y                                             1
HANS SR                                            1
MAJALEA                                            1
CLIFFERD                                           3
LAMBROS                                            1
YAZAN                                              3
D M HARDING                                        1
JANICE KING                                        1
VINCENT & SHEILA CORRAN BAN                        1
WAREFIELD                                          1
SEPIDEH                                            3
RAYMOND M                                          1
M L LEE                                            1
A.R.                                               1
KAMBIZ                                             2
PRIM ROSE                                          1
MARCIL                                             1
JOMIN                                              1
SNOWDEN                                            1
HEATH                                              94
INDIER                                             1
Mr NEVILLE                                         2
CHERRLIYN                                          1
M GEIGER                                           1
OLUWATOYIN                                         1
Ratrick                                            1
SIMIN                                              1
BEIRA                                              1
SATWANDER                                          1
DAMION                                             13
AMBERMAE                                           1
KIRSTEN HUGHES                                     1
GHANEM                                             1
JON & MELINDA                                      1
DR   MAICO D                                       1
DR. JERRY                                          2
RAYFORD                                            1
ULITA                                              2
WILBERT - JAMES                                    1
SHELBY ANDERSON                                    1
P CYMBRIA                                          1
PASTOR PERRY                                       1
JERILEE                                            2
CASSEY                                             5
SHIK                                               1
CORSTON                                            1
KERI-ANN                                           1
DOUGLAS B PALMER                                   1
CPT MORLAN                                         1
PAGASA                                             1
DAVID                                              25
PAUL S                                             3
TEDDY                                              64
MRS LYNN                                           5
ZIAB                                               1
YAVONE                                             1
LERUE                                              2
LAURENCE H KLOTZ                                   1
RAQUELITA                                          1
PETER LAMPREY                                      1
ELIANE & BRIAN STRATFORD                           1
ARONLD                                             1
MARILIA                                            2
FIDELMA                                            2
MORENDA                                            2
LAURIE/randy                                       1
HARTWIG                                            4
ASHUTOSH                                           5
MURIEL HENDERSON                                   1
MCARTHUR                                           1
ARILAND                                            1
THORBJORN                                          1
EDUARO                                             1
MRS. SIMIN                                         1
M.RHEAL                                            1
LEONARD SADINSKY                                   1
N M GOLDMAN                                        1
MANJEET CHEEMA                                     1
ALNOOR                                             16
LAURENTIA                                          1
MME. THERESE                                       2
MR PATRICK                                         2
QUINCEY                                            2
NEANA                                              1
BERTHLYN                                           1
ALCYME                                             1
MR CAM                                             2
DEBBIE TOSCHE                                      6
LORRAINE MAY                                       1
NATHALIE BOUFFARD                                  1
MRS. LOANA                                         1
LUZADRIANA                                         1
CAROLINE Y                                         1
OLAVE                                              2
BARRET                                             17
YUITONT                                            1
RICK/JEFF                                          1
SAJAWAL                                            1
A P LANG                                           1
ASHIS CHAWLA                                       1
PATRIDC                                            2
ASIBA                                              1
MITHLESH                                           1
REDA                                               6
ZONA                                               8
MME MARIE JEANNE                                   2
ROYA                                               12
GREG-MARY ANN                                      1
SEVILLA                                            1
V A TORAN                                          1
TAKINDER                                           1
MRS MAXINE                                         1
VINCENTI                                           1
DR KENT                                            1
CHEFLEY                                            1
RONALD WILLIAMS                                    1
ISRAEL KOMA                                        1
MS. J.                                             2
RUTH CANTON                                        1
GAETAN                                             206
GLORIA JEAN                                        2
CHARITI                                            2
MME. ÉTIENNE                                       1
ALDENEIL                                           1
LISBET                                             2
MRS JACKIE                                         1
MR. GARTH                                          1
MARDIE                                             2
BELLON                                             1
MME RODERICK                                       1
Leatitia                                           1
CANDIDA-RAE                                        1
JEINGSUN                                           1
DAVID EVELINE                                      1
ROBT BURCHELL                                      1
ANGELINE                                           1
BRIAN & PAM                                        1
THOMAS CASCUMPEC                                   1
JEANNE-ANNE                                        1
GAILEEN                                            2
DIRKJE                                             1
ZAITOON                                            1
KAREN  E.                                          1
ROZADA                                             1
AZEEZ                                              2
ALASSANE                                           1
LAUDHLIN                                           1
MINALYN                                            1
CURRIS                                             1
COURTNEY-LONET                                     1
LIZELLE                                            2
YIHAN                                              1
E B                                                2
W.L.                                               1
DR RACHEL J                                        1
MME ANNIC                                          1
ELENNE                                             1
E N THOMPSON                                       1
BENJAMIN JR                                        1
GERRY GOLDMAN                                      1
MRS. PATS                                          1
NEIL AND MARION                                    1
WILLIAM BLAKE                                      1
LENAAE                                             1
NINETTA GENUA                                      1
FRANCINE                                           490
TONY                                               3
RON MANUGE                                         1
DR. DEREK                                          4
LAWRENCE.G.                                        1
DILLYS                                             2
MATSUTOSHI                                         1
CALEN                                              5
P PETER DIAVOLITSIS                                1
GERALD & ELIZABETH STANHOPE                        1
BRUCE C BELL                                       1
TERESA WASILEWSKI                                  1
TRICA                                              3
ZUBEDA                                             2
ADAM B                                             1
J & F                                              1
SHAWN & SUZANNE                                    1
MD                                                 1
DAREK                                              15
MARGIE / ROBERT                                    1
VALERIE MURPHY &                                   1
Mr.s                                               1
ROHINTON                                           1
CHAO                                               13
DARETH                                             3
JOHN C GOODALL                                     1
WALTER T DELPERO                                   1
SAABIT                                             1
DELMAR SELENA                                      1
ALMON                                              12
MRS. BERNARD                                       1
VISNJA                                             2
CLINT/TROY                                         1
TIM & MADONNA                                      1
MARY JEANETTE                                      1
M B LAD                                            1
BRONIS                                             1
PRODCOMX                                           1
ASTLE                                              1
MME LEONTINE                                       2
CECIL. D                                           1
IWONA                                              8
LORING                                             6
BURNA                                              1
ZAHIV                                              1
J D MILLER                                         1
ROBERT J BIRNBAUM                                  1
KEANU                                              1
Fitzharris                                         1
DZIANIS                                            1
JENITH                                             1
